         8	    0.000000591
        16	    0.000000622
        32	    0.000000665
        64	    0.000000834
       128	    0.000000803
       256	    0.000000863
       512	    0.000000861
      1024	    0.000000980
      2048	    0.000001175
      4096	    0.000001724
      8192	    0.000003991
     16384	    0.000004232
     32768	    0.000006852
     65536	    0.000012159
    131072	    0.000024059
    262144	    0.000045063
    524288	    0.000087655
   1048576	    0.000172458
   2097152	    0.000344837
   4194304	    0.000689819
   8388608	    0.001369357
  16777216	    0.002701414
  33554432	    0.005584292
  67108864	    0.011460493
 134217728	    0.023226025
 268435456	    0.046696389
 536870912	    0.093659141
1073741824	    0.187510843</pre>
