         8	    0.000001559
        16	    0.000001712
        32	    0.000001550
        64	    0.000001733
       128	    0.000001991
       256	    0.000002217
       512	    0.000001740
      1024	    0.000001943
      2048	    0.000003338
      4096	    0.000004728
      8192	    0.000007861
     16384	    0.000007396
     32768	    0.000010593
     65536	    0.000018020
    131072	    0.000028701
    262144	    0.000039878
    524288	    0.000069416
   1048576	    0.000133686
   2097152	    0.000265017
   4194304	    0.000468750
   8388608	    0.001015232
  16777216	    0.002082636
  33554432	    0.004222858
  67108864	    0.008641593
 134217728	    0.017451191
 268435456	    0.035466940
 536870912	    0.071899996
1073741824	    0.142100747
</pre>
